Pet is Dog Boolen,Pet is Cat Boolen,YEAR,NEIGHBOURHOOD,NEIGHBOURHOOD_ID,Pet Type,Number of Pets
0,27,2020,Sakaw,6670,Cat,27
2,0,2018,Walker,6662,Dog,2
0,82,2020,Strathcona,5480,Cat,82
219,0,2019,Grovenor,3210,Dog,219
0,2,2019,River's Edge,4469,Cat,2
0,11,2019,Richford,5451,Cat,11
29,0,2020,Evergreen,2270,Dog,29
0,2,2020,Albany,3460,Cat,2
0,22,2020,Athlone,3010,Cat,22
3,0,2020,Edmonton South West,8888,Dog,3
2,0,2018,Ermineskin,5180,Dog,2
41,0,2020,Britannia Youngstown,4060,Dog,41
0,40,2020,Queen Mary Park,1180,Cat,40
73,0,2019,Clareview Town Centre,2145,Dog,73
91,0,2019,Spruce Avenue,1230,Dog,91
0,67,2019,Blackmud Creek,5453,Cat,67
307,0,2019,Calder,3070,Dog,307
0,196,2019,Inglewood,3240,Cat,196
75,0,2020,Wild Rose,6790,Dog,75
0,23,2020,Haddow,5610,Cat,23
27,0,2019,Graydon Hill,5468,Dog,27
0,27,2019,Carter Crest,5130,Cat,27
0,104,2019,Bannerman,2030,Cat,104
0,1,2018,Abbottsfield,2010,Cat,1
0,33,2020,Wellington,3430,Cat,33
0,73,2019,Oleskiw,4360,Cat,73
0,3,2020,Abbottsfield,2010,Cat,3
109,0,2019,Blackburne,5590,Dog,109
18,0,2020,Bergman,2090,Dog,18
0,156,2019,Britannia Youngstown,4060,Cat,156
0,49,2020,Ottewell,6550,Cat,49
0,17,2020,Meyonohk,6470,Cat,17
22,0,2020,Glengarry,2290,Dog,22
0,2,2020,Heritage Valley Town Centre Area,5464,Cat,2
344,0,2019,King Edward Park,6360,Dog,344
25,0,2020,Crystallina Nera West,2463,Dog,25
0,1,2018,Griesbach,3111,Cat,1
224,0,2019,Caernarvon,3060,Dog,224
38,0,2020,Belgravia,5040,Dog,38
16,0,2020,Windsor Park,5580,Dog,16
0,36,2020,Meyokumin,6460,Cat,36
4,0,2019,River Valley Fort Edmonton,5401,Dog,4
83,0,2019,Skyrattler,5460,Dog,83
0,15,2020,Hairsine,2320,Cat,15
0,9,2020,Keheewin,5250,Cat,9
0,28,2020,Forest Heights,6230,Cat,28
0,4,2020,Mill Woods Town Centre,6520,Cat,4
0,111,2019,York,2720,Cat,111
29,0,2020,Rundle Heights,2660,Dog,29
0,1,2016,Glenwood,4180,Cat,1
163,0,2019,Gariepy,4160,Dog,163
0,138,2019,Kensington,3250,Cat,138
0,106,2019,Wild Rose,6790,Cat,106
34,0,2020,Weinlos,6770,Dog,34
14,0,2020,Richford,5451,Dog,14
0,14,2020,McLeod,2530,Cat,14
1,0,2018,King Edward Park,6360,Dog,1
37,0,2020,Maple Ridge,6410,Dog,37
427,0,2019,Westmount,3440,Dog,427
0,98,2019,Lorelei,3280,Cat,98
4,0,2019,Kennedale Industrial,2380,Dog,4
194,0,2019,Avonmore,6020,Dog,194
59,0,2020,Larkspur,6390,Dog,59
65,0,2019,Rural North East South Sturgeon,2690,Dog,65
21,0,2020,Tipaskan,6750,Dog,21
55,0,2019,Blue Quill Estates,5070,Dog,55
0,22,2020,Homesteader,2350,Cat,22
0,2,2019,Rural North East Horse Hill,2670,Cat,2
0,60,2019,Argyll,6010,Cat,60
104,0,2019,McQueen,3300,Dog,104
38,0,2020,Daly Grove,6150,Dog,38
0,27,2020,Britannia Youngstown,4060,Cat,27
0,30,2020,Parkdale,1160,Cat,30
0,38,2020,Dunluce,3180,Cat,38
0,70,2019,Schonsee,2700,Cat,70
0,98,2019,North Glenora,3310,Cat,98
145,0,2019,Donsdale,4120,Dog,145
205,0,2019,Downtown,1090,Dog,205
0,16,2020,Patricia Heights,4390,Cat,16
359,0,2019,Oliver,1150,Dog,359
0,106,2019,Minchau,6530,Cat,106
0,27,2020,Daly Grove,6150,Cat,27
0,2,2019,Lewis Farms Industrial,4485,Cat,2
0,119,2019,Westview Village,4620,Cat,119
106,0,2020,Ottewell,6550,Dog,106
366,0,2019,Ormsby Place,4380,Dog,366
48,0,2020,Greenview,6280,Dog,48
153,0,2019,Dechene,4110,Dog,153
111,0,2019,Keswick Area,5576,Dog,111
226,0,2019,Britannia Youngstown,4060,Dog,226
1,0,2018,Wellington,3430,Dog,1
208,0,2019,Oleskiw,4360,Dog,208
7,0,2019,Rural North East Horse Hill,2670,Dog,7
0,1,2018,Kernohan,2390,Cat,1
27,0,2020,Brookside,5090,Dog,27
0,21,2020,Avonmore,6020,Cat,21
90,0,2019,Carter Crest,5130,Dog,90
51,0,2020,Kernohan,2390,Dog,51
0,119,2019,Jamieson Place,4220,Cat,119
300,0,2019,La Perle,4240,Dog,300
30,0,2020,Brander Gardens,5080,Dog,30
18,0,2019,Decoteau,6663,Dog,18
51,0,2020,Lauderdale,3260,Dog,51
1,0,2018,Baturyn,3030,Dog,1
0,73,2019,Weinlos,6770,Cat,73
1,0,2018,Downtown,1090,Dog,1
0,5,2020,Henderson Estates,5230,Cat,5
232,0,2019,Montrose,2550,Dog,232
234,0,2019,Evansdale,2260,Dog,234
0,31,2020,Aldergrove,4020,Cat,31
0,19,2020,Boyle Street,1020,Cat,19
0,55,2019,Bearspaw,5030,Cat,55
174,0,2019,Minchau,6530,Dog,174
181,0,2019,Kenilworth,6350,Dog,181
56,0,2020,Bonnie Doon,6040,Dog,56
19,0,2020,Argyll,6010,Dog,19
66,0,2020,La Perle,4240,Dog,66
2,0,2017,Ozerna,2600,Dog,2
223,0,2019,Bannerman,2030,Dog,223
0,22,2020,Kirkness,2430,Cat,22
0,22,2020,Eastwood,1100,Cat,22
0,7,2019,Mill Woods Town Centre,6520,Cat,7
0,28,2020,Queen Alexandra,5330,Cat,28
185,0,2019,Kildare,2400,Dog,185
43,0,2020,Evansdale,2260,Dog,43
75,0,2020,Terwillegar Towne,5640,Dog,75
23,0,2020,Jasper Park,4230,Dog,23
6,0,2020,Hays Ridge Area,5465,Dog,6
0,64,2019,Lee Ridge,6400,Cat,64
7,0,2020,The Uplands,4464,Dog,7
236,0,2019,Haddow,5610,Dog,236
0,7,2020,Rideau Park,5360,Cat,7
27,0,2020,Hodgson,5620,Dog,27
0,26,2020,The Orchards At Ellerslie,6216,Cat,26
0,19,2020,Duggan,5160,Cat,19
0,94,2019,Bisset,6030,Cat,94
1,0,2018,Silver Berry,6442,Dog,1
57,0,2020,Kilkenny,2410,Dog,57
102,0,2019,Idylwylde,6320,Dog,102
31,0,2020,Maple,6441,Dog,31
16,0,2020,Sherwood,4500,Dog,16
0,1,2019,Coronet Addition Industrial,6090,Cat,1
0,229,2019,Rutherford,5454,Cat,229
99,0,2019,Sifton Park,2710,Dog,99
62,0,2019,Cromdale,1070,Dog,62
0,18,2020,Grovenor,3210,Cat,18
0,8,2020,Blackburne,5590,Cat,8
0,14,2020,Evansdale,2260,Cat,14
0,15,2020,Michaels Park,6480,Cat,15
0,97,2019,Royal Gardens,5430,Cat,97
232,0,2019,Hillview,6300,Dog,232
0,21,2020,Hazeldean,6290,Cat,21
1,0,2018,Albany,3460,Dog,1
0,17,2020,Granville,4551,Cat,17
352,0,2019,Baturyn,3030,Dog,352
0,3,2019,Quesnell Heights,4420,Cat,3
5,0,2020,Rural North East Horse Hill,2670,Dog,5
0,40,2019,Kameyosek,6340,Cat,40
111,0,2019,Hudson,3480,Dog,111
147,0,2019,Elsinore,3190,Dog,147
0,1,2019,Southeast Industrial,6690,Cat,1
123,0,2019,Jasper Park,4230,Dog,123
35,0,2020,Meyonohk,6470,Dog,35
76,0,2020,Baturyn,3030,Dog,76
0,118,2019,Balwin,2020,Cat,118
0,165,2019,Highlands,2330,Cat,165
0,10,2020,Starling,4474,Cat,10
0,6,2020,Brander Gardens,5080,Cat,6
49,0,2020,The Orchards At Ellerslie,6216,Dog,49
0,4,2019,Cavanagh,5467,Cat,4
1,0,2019,River Valley Highlands,2640,Dog,1
1,0,2019,Glenridding Ravine,5579,Dog,1
0,12,2020,Bisset,6030,Cat,12
31,0,2020,Laurel,6444,Dog,31
75,0,2020,Crawford Plains,6140,Dog,75
0,10,2020,Magrath Heights,5476,Cat,10
199,0,2019,Rosslyn,3390,Dog,199
6,0,2020,Graydon Hill,5468,Dog,6
1,0,2020,Kinokamau Plains Area,4475,Dog,1
1,0,2018,Meyokumin,6460,Dog,1
0,49,2020,King Edward Park,6360,Cat,49
0,20,2020,Carlton,3470,Cat,20
0,1,2019,Alberta Park Industrial,4010,Cat,1
3,0,2019,High Park Industrial,4210,Dog,3
0,64,2019,Richfield,6600,Cat,64
0,20,2020,Belmead,4040,Cat,20
0,50,2019,Rossdale,1220,Cat,50
328,0,2019,Glenora,3200,Dog,328
0,1,2018,Hillview,6300,Cat,1
0,61,2019,Spruce Avenue,1230,Cat,61
86,0,2019,Prince Rupert,1170,Dog,86
127,0,2020,Glastonbury,4720,Dog,127
64,0,2020,Beverly Heights,2100,Dog,64
166,0,2019,Magrath Heights,5476,Dog,166
216,0,2019,Eastwood,1100,Dog,216
0,97,2019,Secord,4487,Cat,97
0,40,2020,Belmont,2070,Cat,40
0,14,2020,Crystallina Nera West,2463,Cat,14
0,108,2019,Callingwood South,4080,Cat,108
3,0,2018,Westmount,3440,Dog,3
0,1,2018,Lee Ridge,6400,Cat,1
0,119,2019,Windermere,5570,Cat,119
44,0,2020,Bannerman,2030,Dog,44
64,0,2020,Aldergrove,4020,Dog,64
211,0,2019,Lynnwood,4280,Dog,211
1,0,2018,Keswick Area,5576,Dog,1
0,73,2019,Steinhauer,5470,Cat,73
444,0,2019,Chappelle Area,5462,Dog,444
0,17,2020,Potter Greens,4710,Cat,17
104,0,2019,Callingwood North,4070,Dog,104
2,0,2020,Winterburn Industrial Area East,4650,Dog,2
162,0,2019,North Glenora,3310,Dog,162
42,0,2020,Ramsay Heights,5340,Dog,42
23,0,2020,Callingwood South,4080,Dog,23
26,0,2020,Mactaggart,5477,Dog,26
0,3,2019,The Uplands,4464,Cat,3
1,0,2018,Blue Quill,5060,Dog,1
0,3,2020,Hawks Ridge,4473,Cat,3
0,42,2019,Sifton Park,2710,Cat,42
0,130,2019,Belvedere,2080,Cat,130
0,4,2020,McQueen,3300,Cat,4
0,31,2020,Lynnwood,4280,Cat,31
229,0,2019,Belvedere,2080,Dog,229
0,17,2019,Grandview Heights,5210,Cat,17
0,4,2020,Donsdale,4120,Cat,4
26,0,2020,Abbottsfield,2010,Dog,26
73,0,2020,King Edward Park,6360,Dog,73
0,16,2020,Westridge,4610,Cat,16
26,0,2020,Wedgewood Heights,4570,Dog,26
0,149,2019,Kirkness,2430,Cat,149
1,0,2019,Davies Industrial West,6170,Dog,1
0,52,2019,Callaghan,5457,Cat,52
114,0,2020,Rutherford,5454,Dog,114
0,51,2020,Chappelle Area,5462,Cat,51
0,9,2019,CPR Irvine,6110,Cat,9
62,0,2019,Baranow,3020,Dog,62
15,0,2020,West Jasper Place,4580,Dog,15
0,91,2019,Meyokumin,6460,Cat,91
207,0,2019,Westview Village,4620,Dog,207
